,Termin,Przedmiot,Typ,Nauczyciel,Sala,Day,Start time,End time,Duration
1,2026-05-18,Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,Paw.A 013 lab.,Pn,15:45,18:15,3
4,2026-05-19,Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008,Wt,09:45,11:15,2
6,2026-05-19,Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11,Wt,15:00,16:30,2
7,2026-05-19,Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11,Wt,18:30,20:00,2
9,2026-05-20,Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N,Śr,16:45,18:15,2
11,2026-05-21,Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008,Cz,08:00,09:30,2
13,2026-05-21,Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.G 8,Cz,15:00,16:30,2
15,2026-05-21,Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,Paw.A 07 lab.,Cz,16:45,18:15,2
17,2026-05-21,Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425,Cz,18:30,20:00,2
19,2026-05-25,Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008,Pn,09:45,11:15,2
21,2026-05-25,Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,Paw.A 013 lab.,Pn,15:45,18:15,3
24,2026-05-26,Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,Paw.A 013 lab.,Wt,08:00,09:30,2
26,2026-05-26,Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008,Wt,09:45,11:15,2
28,2026-05-26,Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,Paw.A 07 lab.,Wt,13:15,14:45,2
30,2026-05-26,Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11,Wt,18:30,20:00,2
32,2026-05-27,Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008,Śr,13:15,14:45,2
35,2026-05-27,Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N,Śr,16:45,18:15,2
38,2026-06-01,Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,Paw.A 013 lab.,Pn,15:45,18:15,3
